year,number,lowest,second,third,fourth,top5
2017,6735,32000,65002,101616,170056,307742
2016,6392,32374,66515,102534,166275,280924
2015,6328,31040,62083,102276,163594,289708
2014,6040,29034,60191,98236,152705,265334
2013,5818,29599,60342,95652,155147,276287
2013,5759,27404,55374,87487,143928,253175
2012,5560,29483,58203,90919,147144,262798
2011,5374,27443,54786,87863,136754,243689
2010,5212,27443,56561,91264,147870,245624
2009,4687,28633,57487,94110,150035,268095
2008,4573,27548,57066,94364,148372,251316
2007,4494,29999,60917,97183,149093,250069
2006,4454,32054,60939,97748,153565,271090
2005,4273,30199,62613,94623,147259,273675
2004,4123,31222,61142,92694,144148,252003
2003,4040,24931,57423,93523,142610,232519
2002,3917,30070,56234,89758,139372,246063
