year,number,lowest,second,third,fourth,top5
2017,17318,22000,40000,63000,99065,180012
2016,16915,21357,39272,61290,97084,173702
2015,16667,20694,36214,57859,93130,173455
2014,16239,19693,35240,54933,88099,155208
2013,16088,18307,32886,52701,88284,168359
2013,15811,18761,33745,52701,85375,151820
2012,15589,17970,32517,52412,84501,154027
2011,14939,18569,33090,51474,83622,154961
2010,14435,18042,33801,53634,85653,155068
2009,13298,19470,34359,54975,87089,156628
2008,13425,19402,34297,53642,86740,157009
2007,13339,20740,35896,56888,88887,154189
2006,12973,20719,36563,56112,89238,159172
2005,12519,20258,36490,55465,86812,155293
2004,12178,20245,35124,54638,85859,153873
2003,11693,20217,36073,53733,86843,152379
2002,11339,20643,36674,55612,87586,153905
2001,10499,21113,37474,56577,89452,156500
2000,10034,21412,38298,57669,88693,152736
1999,9579,20674,36383,55295,88553,148044
1998,9060,18088,33914,52671,82902,147713
1997,8590,17150,32082,50415,78519,142252
1996,8225,17168,30903,48383,77350,134224
1995,7939,16023,28938,46307,74187,128665
1994,7735,15955,29700,47636,76240,134965
1993,7362,16685,30153,47039,74224,128151
1992,7153,16487,30570,47749,75085,127346
1991,6379,16932,31682,49389,76970,132009
1990,6220,17483,31923,49681,76614,131722
1989,5933,17939,33501,52217,81625,135901
1988,5910,16414,31565,49985,77626,132154
1987,5642,16247,31049,48841,76977,131103
1986,5418,16701,30745,49247,77082,127645
1985,5213,15904,29412,47296,72766,121350
1984,4883,15774,29872,48336,72497,119304
1983,4666,15257,29241,45695,69663,114785
1982,4085,15908,29369,45719,69753,113317
1981,3980,17596,31182,48272,71956,114928
1980,3906,17289,30817,47433,71927,115173
1979,3684,18950,33289,50534,73906,120823
1978,3291,18472,33541,49447,72822,113591
1977,3304,18475,31788,46712,69883,110561
1976,3081,16597,30062,45567,67565,102537
1975,2948,16812,29329,44201,64806,100798
1974,2897,18972,32027,47564,68221,107895
1973,2722,19781,33232,48784,69811,106322
1972,2655,19269,32606,46767,65369,103518
