year,number,lowest,second,third,fourth,top5
2017,84681,27670,52570,84992,136812,250362
2016,84387,27603,51608,82800,132939,245161
2015,84445,26771,50951,82274,129499,232846
2014,84228,25383,48614,77779,126172,228565
2013,84432,25330,49703,78728,125468,228764
2013,83641,25606,47979,76111,120946,221343
2012,83792,25671,47836,75659,120229,216613
2011,83573,25709,47140,75411,120222,218457
2010,83314,25464,47724,76635,120685,217589
2009,83158,26754,48943,77031,121551,216806
2008,82884,26669,49549,78829,122121,219133
2007,82765,27348,50964,80651,126108,224230
2006,82675,27944,50581,79586,125185,224666
2005,82003,27149,50331,78863,124294,222841
2004,81628,26570,49723,78490,122540,215819
2003,81148,26732,50102,79435,123881,218752
2002,81166,27328,50556,79333,122715,215327
2001,80818,27606,50265,79327,123115,221198
2000,80527,28263,51388,80159,123685,218727
1999,79819,28219,51656,80288,123280,221825
1998,78577,27902,51248,78491,120431,211400
1997,77936,26766,49040,76410,116273,204012
1996,77240,26142,47618,74199,112374,195474
1995,76932,26138,48012,72585,110702,192290
1994,77004,24942,45945,70625,108474,189448
1993,75697,24901,45481,70022,106709,183432
1992,75107,24902,45666,70053,104803,177237
1991,75625,25134,45763,69877,105255,176012
1990,75035,26040,46899,70551,105841,180876
1989,74495,26327,47853,72169,107653,183036
1988,74067,25971,47609,71473,105961,178235
1987,73120,25460,46744,70792,104791,173669
1986,72067,25129,45761,69172,103123,171820
1985,71540,24270,44181,66841,99396,163616
1984,70586,24094,43590,65507,97348,160503
1983,69648,23660,42534,63717,94466,156127
1982,69214,23300,42202,63184,93297,152232
1981,68996,23417,42043,63791,92609,148371
1980,68106,23810,43062,64599,93019,148592
1979,67203,24364,44375,66325,94886,153834
1978,64836,24205,44088,65872,94054,150579
1977,63721,23278,43324,63945,92253,146336
1976,62365,23538,42821,63267,90191,141611
1975,61533,22748,41671,62172,88015,138098
1974,60164,23719,43815,63011,89913,142062
1973,59276,23717,44764,64985,92574,148356
1972,58004,23573,43930,63572,90119,144358
1971,59463,22277,41653,59600,84302,134247
1970,57575,22587,42371,59929,84742,133926
1969,56248,22899,42952,60422,84435,132396
1968,55394,22292,41332,58206,80497,125081,
1967,54188,20746,39240,55450,77348,124838
