year,number,0-19,20-39,40-59,60-79,80-99,80-94,95-99
2017,6735,2.7,8.5,14.4,23.4,51,29,22
2016,6392,3,9,15.2,24,48.9,26.9,20.4
2015,6328,2.7,8.6,14.8,23.6,50.3,28.3,21.5
2014,6040,2.9,8.6,15.3,24.3,48.9,26.9,20.2
2013,5818,2.7,8.6,14.5,22.7,51.6,29.6,23.2
2013,5759,2.8,8.7,14.8,23.7,50,28,21.1
2012,5560,3,8.9,15,23.7,49.4,27.4,20.5
2011,5374,3,8.8,15.2,23.5,49.5,27.5,21.4
2010,5212,2.9,8.9,15.3,24.6,48.3,26.3,19
2009,4687,2.7,8.2,14.4,23,51.6,29.6,23.7
2008,4573,2.9,8.6,15.2,24.2,49.2,27.2,20.8
2007,4494,3.1,9.2,15.6,23.9,48.1,26.1,20.2
2006,4454,3.1,8.7,14.6,22.9,50.7,28.7,23.7
2005,4273,2.9,9.2,15.3,23.7,48.9,26.9,20.2
2004,4123,3.2,9.1,15.1,23.4,49.2,27.2,21.5
2003,4040,2.7,9,15.9,24.5,47.9,25.9,19
2002,3917,3.3,9.1,15.2,23.7,48.8,26.8,20.8
