year,number,0-19,20-39,40-59,60-79,80-99,80-94,95-99
2017,127586,3.1,8.2,14.3,23,51.5,29.2,22.3
2016,126224,3.1,8.3,14.2,22.9,51.5,28.9,22.6
2015,125819,3.1,8.2,14.3,23.2,51.1,29.0,22.1
2014,124587,3.1,8.2,14.3,23.2,51.2,29.3,21.9
2013,123931,3.1,8.2,14.3,23,51.4,29.2,22.2
2013,122952,3.2,8.4,14.4,23,51,28.8,22.2
2012,122459,3.2,8.3,14.4,23,51,28.7,22.3
2011,121084,3.2,8.4,14.3,23,51.1,28.8,22.3
2010,119927,3.3,8.5,14.6,23.4,50.3,29.0,21.3
2009,117538,3.4,8.6,14.6,23.2,50.3,28.6,21.7
2008,117181,3.4,8.6,14.7,23.3,50,28.5,21.5
2007,116783,3.4,8.7,14.8,23.4,49.7,28.5,21.2
2006,116011,3.4,8.6,14.5,22.9,50.5,28.2,22.3
2005,114384,3.4,8.6,14.6,23,50.4,28.2,22.2
2004,113343,3.4,8.7,14.7,23.2,50.1,28.3,21.8
2003,112000,3.4,8.7,14.8,23.4,49.8,28.4,21.4
2002,111278,3.5,8.8,14.8,23.3,49.7,28.0,21.7
2001,109297,3.5,8.7,14.6,23,50.1,27.7,22.4
2000,108209,3.6,8.9,14.8,23,49.8,27.7,22.1
1999,106434,3.6,8.9,14.9,23.2,49.4,27.9,21.5
1998,103874,3.6,9,15,23.2,49.2,27.8,21.4
1997,102528,3.6,8.9,15,23.2,49.4,27.7,21.7
1996,101018,3.6,9,15.1,23.3,49,27.6,21.4
1995,99627,3.7,9.1,15.2,23.3,48.7,27.7,21
1994,98990,3.6,8.9,15,23.4,49.1,27.9,21.2
1993,97107,3.6,9,15.1,23.5,48.9,27.9,21
1992,96426,3.8,9.4,15.8,24.2,46.9,28.3,18.6
1991,95669,3.8,9.6,15.9,24.2,46.5,28.4,18.1
1990,94312,3.8,9.6,15.9,24,46.6,28.1,18.5
1989,93347,3.8,9.5,15.8,24,46.8,27.9,18.9
1988,92830,3.8,9.6,16,24.2,46.3,28.0,18.3
1987,91124,3.8,9.6,16.1,24.3,46.2,28.0,18.2
1986,89479,3.8,9.7,16.2,24.3,46.1,28.1,18
1985,88458,3.9,9.8,16.2,24.4,45.6,28.0,17.6
1984,86789,4,9.9,16.3,24.6,45.2,28.1,17.1
1983,85407,4,9.9,16.4,24.6,45.1,28.1,17
1982,83918,4,10,16.5,24.5,45,28,17
1981,83527,4.1,10.1,16.7,24.8,44.3,27.8,16.5
1980,82368,4.2,10.2,16.8,24.7,44.1,27.6,16.5
1979,80776,4.1,10.2,16.8,24.6,44.2,27.3,16.9
1978,77330,4.2,10.2,16.8,24.7,44.1,27.3,16.8
1977,76030,4.2,10.2,16.9,24.7,44,27.2,16.8
1976,74142,4.3,10.3,17,24.7,43.7,27.1,16.6
1975,72867,4.3,10.4,17,24.7,43.6,27.1,16.5
1974,71163,4.3,10.6,17,24.6,43.5,27.0,16.5
1973,69859,4.2,10.4,17,24.5,43.9,27.0,16.9
1972,68251,4.1,10.4,17,24.5,43.9,26.9,17
1971,66676,4.1,10.6,17.3,24.5,43.5,26.8,16.7
1970,64778,4.1,10.8,17.4,24.5,43.3,26.7,16.6
1969,63401,4.1,10.9,17.5,24.5,43,26.4,16.6
1968,62214,4.2,11.1,17.6,24.5,42.6,26.3,16.3
1967,60813,4,10.8,17.3,24.2,43.6,26.4,17.2
