year,lowest,second,third,fourth,highest,top5
2017,16997,2.5,7.7,13.7,23.1,52.9,22.9
2016,16733,2.6,7.7,13.7,22.8,53.4,24.0
2015,16539,2.6,7.6,13.7,23.0,53.2,23.3
2014,16437,2.6,7.8,13.8,22.9,52.9,22.5
2013,16009,2.6,7.8,13.9,22.9,52.8,22.3
2013,16108,2.9,7.8,13.9,23.0,52.4,22.3
2012,15872,2.8,7.8,14.1,23.5,51.9,21.7
2011,15583,2.7,7.5,13.7,23.2,52.9,22.8
2010,15265,2.7,7.9,14.3,23.8,51.3,21.1
2009,14730,2.9,8.2,14.3,23.5,51.0,21.5
2008,14595,3.0,8.4,14.6,23.5,50.6,20.7
2007,14551,2.8,8.1,14.6,23.7,50.8,21.2
2006,14354,2.8,8.1,14.3,23.3,51.5,22.0
2005,14002,2.8,8.0,14.5,23.7,50.9,21.2
2004,13809,2.8,8.3,14.6,23.8,50.5,20.9
2003,13629,2.9,8.2,14.7,24.0,50.2,20.2
2002,13465,2.9,8.2,14.5,23.3,51.1,21.6
2001,13315,3.0,8.6,15.0,24.2,49.2,19.8
2000,13174,3.2,8.7,15.1,24.0,49.0,19.6
1999,12838,3.1,8.2,14.6,24.0,50.0,20.0
1998,12579,3.1,8.2,14.8,24.4,49.5,19.1
1997,12474,3.2,8.5,15.1,24.5,48.7,19.1
1996,12109,3.1,8.0,14.5,23.7,50.7,21.7
1995,11577,3.2,8.2,14.8,24.2,49.6,20.2
1994,11655,3.0,7.8,14.3,24.3,50.5,20.1
1993,11281,3.0,7.6,14.3,23.7,51.3,21.0
1992,11269,3.1,7.8,14.7,24.8,49.7,19.1
1991,11083,3.1,7.8,15.0,25.2,48.9,18.3
1990,10671,3.1,7.9,15.0,25.1,49.0,18.5
1989,10486,3.2,8.0,15.0,24.9,48.9,18.2
1988,10561,3.3,7.7,14.6,24.7,49.7,18.7
1987,10192,3.2,7.9,14.8,24.4,49.7,19.2
1986,9922,3.1,8.0,14.9,25.0,49.0,18.6
1985,9797,3.5,8.3,15.2,24.9,48.0,17.6
1984,9480,3.6,8.4,15.0,24.7,48.4,17.6
1983,9236,3.5,8.3,15.1,25.1,47.9,17.1
1982,8916,3.6,8.6,15.3,25.5,47.1,17.1
1981,8961,3.7,8.5,15.2,25.3,47.3,16.6
1980,8847,3.7,8.7,15.3,25.2,47.1,16.9
1979,8586,3.8,8.8,15.5,25.3,46.6,16.5
1978,8066,3.9,8.7,15.6,25.3,46.5,16.5
1977,7977,4.2,9.2,15.5,24.9,46.3,16.8
1976,7776,4.2,9.1,15.7,25.4,45.6,16.3
1975,7489,4.1,9.0,16.0,25.5,45.4,16.0
1974,7263,4.2,9.4,16.1,25.2,45.1,15.8
1973,7040,4.0,9.3,16.0,25.1,45.6,16.9
1972,6809,3.9,9.2,15.8,24.9,46.2,16.8
1971,6578,4.0,9.3,16.1,25.1,45.4,16.4
1970,6180,3.7,9.4,16.3,25.2,45.5,16.4
1969,6053,3.9,9.7,16.5,25.1,44.7,15.9
1968,5870,4.0,9.8,16.3,25.1,44.8,15.9
1967,5728,3.8,9.3,15.9,24.3,46.7,18.2
