year,lowest,second,third,fourth,highest,top5
2017,84681,3.3,8.5,14.6,23.1,50.4,21.8
2016,84387,3.4,8.6,14.5,23.0,50.4,21.8
2015,84445,3.5,8.6,14.8,23.4,49.7,21.3
2014,84228,3.3,8.5,14.6,23.2,50.3,21.5
2013,84432,3.4,8.7,14.8,23.1,50.1,21.3
2013,83641,3.5,8.7,14.7,22.9,50.2,21.9
2012,83792,3.5,8.7,14.7,23.0,50.2,22.0
2011,83573,3.5,8.7,14.6,22.9,50.2,22.0
2010,83314,3.6,8.8,14.9,23.4,49.4,21.0
2009,83158,3.7,9.0,14.9,23.2,49.2,21.2
2008,82884,3.7,8.9,15.0,23.2,49.2,21.2
2007,82765,3.7,9.0,15.0,23.4,48.9,20.9
2006,82675,3.7,8.9,14.8,23.0,49.7,22.0
2005,82003,3.6,8.9,14.8,22.9,49.8,22.1
2004,81628,3.6,8.9,15.0,23.1,49.4,21.6
2003,81148,3.6,9.0,15.0,23.3,49.2,21.3
2002,81166,3.7,9.1,15.1,23.3,48.9,21.3
2001,80818,3.7,8.9,14.8,22.9,49.6,22.2
2000,80527,3.7,9.1,15.0,22.9,49.3,21.9
1999,79819,3.9,9.2,15.1,23.0,48.8,21.4
1998,78577,3.9,9.3,15.3,23.1,48.5,21.3
1997,77936,3.8,9.2,15.2,23.0,48.8,21.5
1996,77240,3.9,9.4,15.4,23.2,48.1,20.9
1995,76932,4.1,9.5,15.4,23.2,47.8,20.5
1994,77004,3.9,9.3,15.2,23.2,48.4,21.0
1993,75697,3.9,9.4,15.4,23.3,48.0,20.6
1992,75107,4.1,9.8,16.0,24.1,46.0,18.2
1991,75625,4.2,10.0,16.1,24.1,45.6,17.8
1990,75035,4.2,10.0,16.1,23.9,45.8,18.3
1989,74495,4.2,9.9,16.0,23.8,46.1,18.7
1988,74067,4.2,10.1,16.3,24.1,45.4,17.9
1987,73120,4.2,10.1,16.4,24.1,45.2,17.8
1986,72067,4.1,10.1,16.4,24.2,45.2,17.8
1985,71540,4.2,10.2,16.4,24.3,44.9,17.3
1984,70586,4.3,10.3,16.6,24.4,44.4,16.7
1983,69648,4.3,10.3,16.6,24.4,44.3,16.8
1982,69214,4.3,10.4,16.7,24.4,44.3,16.7
1981,68996,4.4,10.4,16.9,24.6,43.7,16.2
1980,68106,4.4,10.6,17.0,24.6,43.4,16.2
1979,67203,4.4,10.6,17.0,24.5,43.6,16.6
1978,64836,4.4,10.5,17.0,24.5,43.5,16.6
1977,63721,4.4,10.6,17.1,24.6,43.4,16.7
1976,62365,4.5,10.7,17.2,24.5,43.1,16.5
1975,61533,4.5,10.7,17.2,24.5,43.0,16.4
1974,60164,4.5,10.9,17.2,24.4,43.0,16.3
1973,59276,4.3,10.8,17.2,24.4,43.3,16.7
1972,58004,4.2,10.8,17.3,24.3,43.4,16.8
