year,lowest,second,third,fourth,highest,top5
2017,15398,48302,82267,133338,291220,502176
2016,16306,49387,83793,132238,269851,449079
2015,14926,46710,80499,128844,274384,469758
2014,14489,43731,77277,122928,247172,408869
2013,14155,45614,77143,121033,275435,495107
2013,13359,41438,70819,113324,239329,404087
2012,14433,43650,73564,115655,241521,401325
2011,14000,41028,71023,109967,231719,400869
2010,13945,42337,72882,117122,230225,362800
2009,13991,42887,74961,119589,268603,493159
2008,14016,42103,74596,119053,242055,408796
2007,15689,46185,78757,120575,242594,406834
2006,16543,46842,78547,123464,272648,510814
2005,14678,46234,77066,119427,246512,407583
2004,15763,45489,75236,116266,244949,428094
2003,12327,42244,74198,114760,223908,355505
2002,15649,43415,72536,113595,233361,397525
