year,lowest,second,third,fourth,highest,top5
2017,13258,35401,61564,99030,221846,385289
2016,13221,35246,60421,97225,218542,383154
2015,12889,33762,58803,95223,209384,363039
2014,12102,32220,56012,91037,201129,344465
2013,12220,32477,56644,91144,203796,352531
2013,12280,32157,55148,88030,195209,339754
2012,12290,31764,54743,87815,194571,340198
2011,12276,31899,54442,87471,194449,340186
2010,12387,32148,55397,88872,190856,323594
2009,13231,33508,56732,90129,195668,338310
2008,13304,33688,57216,91032,195231,336358
2007,13690,34893,59220,93759,199073,340368
2006,13835,35073,58772,93028,204961,362469
2005,13407,34423,58259,91635,200800,353772
2004,13326,34099,57774,91097,197005,343303
2003,13355,34307,58235,92180,196503,338339
2002,13650,34706,58484,91994,196409,342977
2001,14068,35348,59166,92767,202596,361505
2000,14498,36201,60285,93716,203081,360286
1999,14633,35931,60142,93604,199612,346946
1998,13902,35102,58736,90839,192226,335049
1997,13504,33759,56796,87969,187549,329126
1996,13415,32927,55385,85719,180287,314053
1995,13372,32683,54648,84007,175310,302560
1994,12657,31545,53141,82693,173846,300358
1993,12328,31252,52386,81411,169617,291119
1992,12462,31224,52605,80754,156473,248352
1991,12719,31947,53064,80890,155114,242068
1990,13072,32889,54325,81907,158951,253111
1989,13387,33307,55366,83747,163711,264500
1988,12915,32599,54522,82417,157344,248155
1987,12693,32259,53933,81522,155033,244255
1986,12364,31802,53218,80172,151746,237720
1985,12231,30995,51449,77389,144560,222992
1984,12250,30511,50562,76131,139985,211313
1983,11860,29794,49258,73917,135714,205049
1982,11722,29666,49106,73033,133947,202397
1981,11944,29752,49287,73469,131237,195017
1980,12242,30468,50277,74070,132064,197356
1979,12653,31471,51886,76141,136647,208402
1978,12743,31294,51671,75691,135136,205692
1977,12323,30331,50176,73516,131097,200554
1976,12384,30315,49854,72398,128132,195232
1975,12086,29686,48705,70769,124949,189615
1974,12510,31094,50115,72375,128231,194910
1973,12556,31570,51783,74492,133287,205303
1972,11998,30989,50573,72603,130344,202027
1971,11323,29926,48519,68979,122224,187471
1970,11253,30484,49089,69193,122498,188021
1969,11452,30919,49407,69204,121638,187227
1968,11181,29984,47554,66337,115270,176235
1967,10294,28524,45543,63720,114672,180884
