year,lowest,second,third,fourth,highest,top5
2017,7465,22649,40260,67619,154972,268759
2016,7492,22448,40144,66775,156544,281957
2015,7263,21264,38474,64702,149482,262080
2014,6953,20632,36659,60720,140529,239284
2013,6860,20721,36990,60889,140436,236952
2013,7487,20350,36464,60128,137123,233639
2012,7046,19908,35890,59969,132490,221362
2011,6842,19361,35446,59968,136465,235718
2010,6747,19975,36289,60262,129994,213389
2009,7624,21651,37736,62057,134614,226410
2008,7834,22353,38795,62323,134243,219792
2007,7832,22348,40211,65599,140333,234097
2006,7651,22315,39425,63972,141636,241482
2005,7497,21489,38747,63298,136062,226275
2004,7338,21954,38643,62921,133439,220575
2003,7778,22011,39448,64298,134545,216917
2002,7882,22327,39569,63745,139827,236164
2001,8259,23345,40912,65821,134030,215273
2000,8873,24448,42245,67070,136986,219284
1999,8704,23413,41571,68101,142038,226858
1998,7829,21156,38078,62810,127417,196528
1997,8025,21363,38093,61751,122562,192343
1996,7879,20286,36603,60038,128498,220026
1995,7713,19985,36122,58821,120910,196375
1994,7255,18845,34439,58321,121198,192697
1993,6898,17444,32634,54058,117033,192012
1992,6709,17004,32130,54137,108564,167332
1991,6760,17290,33124,55475,107742,161739
1990,6974,17800,34020,56717,110809,167642
1989,7246,18367,34526,57195,112310,167057
1988,7281,17386,32735,55445,111674,168191
1987,7108,17207,32392,53400,108908,168610
1986,6698,17274,32326,54109,106188,161370
1985,7363,17562,31942,52552,101199,148343
1984,7222,17010,30287,50018,97894,142214
1983,6861,16209,29499,48990,93422,133391
1982,6876,16501,29505,49092,90729,132068
1981,7078,16460,29330,48747,91160,128258
1980,7311,17175,30428,50053,93429,133991
1979,7760,18075,31801,52048,95646,135754
1978,8133,18137,32471,52579,96626,137442
1977,8258,18251,30870,49583,92396,133815
1976,8158,18074,31170,50394,90498,129716
1975,7925,17373,30683,48920,87176,122891
1974,8101,18320,31405,48967,87893,123159
1973,8159,18847,32320,50846,92370,136521
1972,7732,18065,31112,49104,91073,132822
1971,7400,17494,30202,46964,85021,122607
1970,7062,17870,31059,48135,86944,125356
1969,7265,18092,30723,46698,82938,118275
1968,7094,17525,29180,45040,80409,114195
1967,6552,16127,27643,42257,81144,126290
