year,lowest,second,third,fourth,highest,top5
2017,11828,30533,50494,79399,169340,289837
2016,11773,30195,49140,77278,172871,313030
2015,11145,28180,46486,73613,169665,308298
2014,10611,26809,44374,69720,146648,245893
2013,10327,25714,41766,68228,157612,277629
2013,10127,26164,43027,67695,140965,231518
2012,9812,25415,41705,66026,142752,242930
2011,10043,26066,42100,65617,142088,238253
2010,10079,25997,42682,67669,143105,238803
2009,11028,26961,43832,69223,148048,250130
2008,10817,27067,43384,68363,144667,239251
2007,11661,28493,45761,70890,144391,240147
2006,11787,28778,46233,70655,150743,255721
2005,11525,28178,45156,69069,142634,234818
2004,11289,27826,44583,68311,146395,250958
2003,11475,28015,44454,68655,144462,242400
2002,11770,28706,45530,70339,150322,262701
2001,12244,28944,46668,71422,148727,252804
2000,12683,29602,47521,71810,152262,271285
1999,12161,28399,45269,69612,142616,236720
1998,10387,25811,42726,66082,143496,253144
1997,9919,24507,40727,63228,135719,235695
1996,10103,23745,38881,61250,131383,227780
1995,9423,22281,36904,58121,123242,208167
1994,9485,22544,38368,60246,128470,217784
1993,9864,23100,38366,58698,123688,207317
1992,9745,23287,38789,59691,115981,178778
1991,10080,23976,40085,61702,118246,180297
1990,10249,24156,40640,61878,118199,182809
1989,9951,25573,42195,65390,124787,194492
1988,9476,24238,40570,62731,122625,197029
1987,9482,23454,39640,61724,122233,197168
1986,9608,23468,39247,61448,114314,167413
1985,9757,22452,38163,58834,108516,157884
1984,9223,22638,38509,59302,108392,160949
1983,9351,21899,36987,56245,102560,148512
1982,9477,22030,36958,56447,104312,155560
1981,10404,24444,39696,58948,104918,152096
1980,10070,24025,38732,58634,105332,155968
1979,11125,26135,41282,61091,109561,162372
1978,11240,25809,40661,60073,103268,149410
1977,11270,24937,39144,57168,99628,144744
1976,10417,23162,37379,55740,95400,137032
1975,10164,23210,36744,54260,94223,141110
1974,11776,25198,39725,57205,98005,143195
1973,11847,26461,40416,58302,96747,137745
1972,12063,25673,39537,55176,97195,148593
