year,lowest,second,third,fourth,highest,top5
2017,15565,39832,68274,107854,235738,407085
2016,15497,39543,66640,105484,231270,400677
2015,15326,38267,65587,103561,220023,376990
2014,14124,36424,62396,99305,215107,367210
2013,14350,37139,63433,98827,214327,364246
2013,14541,36562,61543,95615,209865,366266
2012,14680,36094,61111,95580,208849,366790
2011,14650,36177,60601,95287,208697,365216
2010,14690,36408,61513,96573,203946,346443
2009,15507,37660,62443,97255,206545,355081
2008,15470,37715,63460,98288,207940,358909
2007,15856,38989,65142,101482,212193,362789
2006,16002,38990,64497,100377,217339,384148
2005,15566,38456,63928,98783,214877,381941
2004,15349,37816,63519,98234,209552,366111
2003,15440,38235,63927,99339,209840,364436
2002,15607,38441,64183,98746,207389,361908
2001,15910,38780,64291,99209,215150,384977
2000,16229,39548,65183,99935,214879,382562
1999,16718,39625,65269,99654,211060,369915
1998,16292,39331,64417,97250,204328,358653
1997,15652,37666,62051,94271,199524,352663
1996,15553,36885,60530,91442,189489,328979
1995,15654,36789,59704,89820,184615,317163
1994,14720,35204,57701,87979,183286,318352
1993,14432,35096,57298,86770,178512,306796
1992,14629,35102,57329,86021,164354,260964
1991,14844,35503,57270,85642,162028,252719
1990,15220,36463,58340,86597,166147,265005
1989,15513,36878,59488,88233,171250,277382
1988,15097,36464,58973,86999,163988,258432
1987,14820,36057,58412,86095,161228,253808
1986,14268,35320,57360,84552,158319,248489
1985,13897,34289,55299,81544,151009,233275
1984,14004,33774,54289,80093,145642,219668
1983,13641,32977,52892,77788,141343,213644
1982,13235,32665,52482,76719,139191,209602
1981,13423,32558,52743,76956,136286,202467
1980,13762,33454,53727,77502,136835,204260
1979,14060,34293,55226,79463,141640,216215
1978,14022,33905,54875,78865,139990,213878
1977,13437,33081,53518,76906,135953,208661
1976,13613,33025,53059,75598,132973,203232
1975,13228,32246,51692,73808,129432,196859
1974,13625,33788,53055,75475,132737,202000
1973,13610,34299,54869,77755,138172,213191
1972,13042,33821,53801,75756,135193,209528
